# The updater's own output, recovered from the container that ran it (T4, round 2).
#
# `docker logs -t tortoise-mangosd` on container e716a18c5d8a -- created 2026-09-09T08:48:14Z by the
# reimport's own `compose up -d`, restarted 08:55:21Z for the channel press, exited 08:56:51Z and
# never recreated -- filtered to the `[DB Auto-Updater]` lines and the ready banner, nothing else
# changed. The file hashes are the updater's own (SHA1 of each file's bytes) and are not secrets.
# The install's generated database password does not occur anywhere in this container's log:
# `docker logs tortoise-mangosd | grep -c -F "$(cat .db_password)"` = 0, and no `…;3306;…` line
# exists in it either. So nothing here is redacted.
#
# TWO starts are in this file, and the timestamps separate them:
#   08:48-08:49  the reimport, against tw_world freshly imported from their base: 173 possible,
#                173 attempted, in name order, zero `failed to apply`.
#   08:55-08:56  the channel press restart: the same 173 possible, 0 attempted.
#
# `check-updater-order.sh` beside this file re-derives both claims from this transcript and from
# the file list inside the image, rather than asking anyone to count 173 lines by eye.
#
2026-09-09T08:48:28.097246027Z [DB Auto-Updater] Attempting to execute update 20260802123824_world, hash EA5DD0EE2F8A509555941E69A175440E4251EB36.
2026-09-09T08:48:28.099368428Z [DB Auto-Updater] Attempting to execute update 20260802143402_world, hash 0BCF2C7834D687FC6BB04EC0A5ECED95E10269C9.
2026-09-09T08:48:28.103200707Z [DB Auto-Updater] Attempting to execute update 20260802150000_world, hash 3904F3997D688B17EE3949F616343B949BA2DB82.
2026-09-09T08:48:28.104414087Z [DB Auto-Updater] Attempting to execute update 20260802152936_world, hash 49C49512EBF7C38A14B4CD9A14AF7D6F9CD99EDA.
2026-09-09T08:48:28.107112047Z [DB Auto-Updater] Attempting to execute update 20260802160000_world, hash B62D3CA66C0D65818ED5E6EA3AE4EA37564D3847.
2026-09-09T08:48:28.112944941Z [DB Auto-Updater] Attempting to execute update 20260802162032_world, hash B738E047DBEA7EAC7D270E0FC40F0F5EBC98471E.
2026-09-09T08:48:28.114267062Z [DB Auto-Updater] Attempting to execute update 20260802170000_world, hash 2CD0243B6416383D44E801A5EAE00083BABAC87B.
2026-09-09T08:48:28.115316020Z [DB Auto-Updater] Attempting to execute update 20260802171013_world, hash 22815E27F3159502BA70149985418186F436D7F1.
2026-09-09T08:48:28.116716003Z [DB Auto-Updater] Attempting to execute update 20260802180000_world, hash EBF7B65C0EE4A2D0F57C98944C18D58B35A84F03.
2026-09-09T08:48:28.118522578Z [DB Auto-Updater] Attempting to execute update 20260802190000_world, hash 3025467678A0CCF5E9109E7280E510971074BA86.
2026-09-09T08:48:28.119687489Z [DB Auto-Updater] Attempting to execute update 20260802200000_world, hash C307BEB187C2C6E47EA68861A52CDC4DD20A662E.
2026-09-09T08:48:28.183905852Z [DB Auto-Updater] Attempting to execute update 20260802210000_world, hash 859C1A84514345BEEAA72B4865825F7C84776BD0.
2026-09-09T08:48:28.221786757Z [DB Auto-Updater] Attempting to execute update 20260802220000_world, hash 44855044AB1F0CF9DA0E56423B67F46176799A65.
2026-09-09T08:48:28.250857199Z [DB Auto-Updater] Attempting to execute update 20260803161618_world, hash C81F6043ECA9CAE0CE1203652FCAAE247D508B77.
